"Rank","Name","Country","D_Score","E_Score","Penalty","Score","Round","Date","Apparatus","Gender","Competition"
5,"Angelina Melnikova","Russia",5.4,9.266,NA,14.666,"final",2021-08-01,"VT1","w","Olympic Games"
5,"Angelina Melnikova","Russia",6,8.8,0.1,14.7,"final",2021-08-01,"VT2","w","Olympic Games"
6,"Lilia Akhaimova","Russia",5.8,8.866,NA,14.666,"final",2021-08-01,"VT1","w","Olympic Games"
6,"Lilia Akhaimova","Russia",5.6,9.066,NA,14.666,"final",2021-08-01,"VT2","w","Olympic Games"
7,"Shallon Olsen","Canada",6,8.7,NA,14.7,"final",2021-08-01,"VT1","w","Olympic Games"
7,"Shallon Olsen","Canada",5.4,9,NA,14.4,"final",2021-08-01,"VT2","w","Olympic Games"
8,"Jade Carey","United States",3.3,8.633,NA,11.933,"final",2021-08-01,"VT1","w","Olympic Games"
8,"Jade Carey","United States",5.8,9.1,2,12.9,"final",2021-08-01,"VT2","w","Olympic Games"
1,"Rebeca Andrade","Brazil",5.9,9.233,0.1,15.083,"final",2021-08-01,"VT","w","Olympic Games"
2,"MyKayla Skinner","United States",5.9,9.0165,NA,14.9165,"final",2021-08-01,"VT","w","Olympic Games"
3,"Yeo Seo-jeong","South Korea",5.8,8.933,NA,14.733,"final",2021-08-01,"VT","w","Olympic Games"
4,"Alexa Moreno","Mexico",5.7,9.016,NA,14.716,"final",2021-08-01,"VT","w","Olympic Games"
5,"Angelina Melnikova","Russia",5.7,9.033,0.1,14.683,"final",2021-08-01,"VT","w","Olympic Games"
6,"Lilia Akhaimova","Russia",5.7,8.966,NA,14.666,"final",2021-08-01,"VT","w","Olympic Games"
7,"Shallon Olsen","Canada",5.7,8.85,NA,14.55,"final",2021-08-01,"VT","w","Olympic Games"
8,"Jade Carey","United States",4.55,8.8665,2,12.4165,"final",2021-08-01,"VT","w","Olympic Games"
1,"Artem Dolgopyat","Israel",6.6,8.6,NA,15.2,"qual",2021-07-24,"FX","m","Olympic Games"
2,"Nikita Nagornyy","Russia",6.2,8.866,NA,15.066,"qual",2021-07-24,"FX","m","Olympic Games"
3,"Ryu Sung-hyun","South Korea",6.9,8.166,NA,15.066,"qual",2021-07-24,"FX","m","Olympic Games"
4,"Rayderley Zapata","Spain",6.5,8.541,NA,15.041,"qual",2021-07-24,"FX","m","Olympic Games"
5,"Kim Han-sol","South Korea",6.5,8.4,NA,14.9,"qual",2021-07-24,"FX","m","Olympic Games"
6,"Yul Moldauer","United States",5.8,9.066,NA,14.866,"qual",2021-07-24,"FX","m","Olympic Games"
7,"Xiao Ruoteng","China",6.2,8.666,NA,14.866,"qual",2021-07-24,"FX","m","Olympic Games"
8,"Milad Karimi","Kazakhstan",6.4,8.366,NA,14.766,"qual",2021-07-24,"FX","m","Olympic Games"
9,"Shane Wiskus","United States",6,8.733,NA,14.733,"qual",2021-07-24,"FX","m","Olympic Games"
10,"Daiki Hashimoto","Japan",6.2,8.6,0.1,14.7,"qual",2021-07-24,"FX","m","Olympic Games"
11,"Takeru Kitazono","Japan",6.2,8.466,NA,14.666,"qual",2021-07-24,"FX","m","Olympic Games"
1,"Artem Dolgopyat","Israel",6.6,8.433,0.1,14.933,"final",2021-08-01,"FX","m","Olympic Games"
1,"Rayderley Zapata","Spain",6.5,8.433,NA,14.933,"final",2021-08-01,"FX","m","Olympic Games"
3,"Xiao Ruoteng","China",6.2,8.566,NA,14.766,"final",2021-08-01,"FX","m","Olympic Games"
4,"Ryu Sung-hyun","South Korea",7,7.533,0.3,14.233,"final",2021-08-01,"FX","m","Olympic Games"
5,"Milad Karimi","Kazakhstan",6.4,8.033,0.3,14.133,"final",2021-08-01,"FX","m","Olympic Games"
6,"Yul Moldauer","United States",5.4,8.133,NA,13.533,"final",2021-08-01,"FX","m","Olympic Games"
7,"Nikita Nagornyy","Russia",6.4,6.966,0.3,13.066,"final",2021-08-01,"FX","m","Olympic Games"
7,"Kim Han-sol","South Korea",6.3,6.766,NA,13.066,"final",2021-08-01,"FX","m","Olympic Games"
1,"Vanessa Ferrari","Italy",5.9,8.266,NA,14.166,"qual",2021-07-25,"FX","w","Olympic Games"
2,"Simone Biles","United States",6.7,7.733,0.3,14.133,"qual",2021-07-25,"FX","w","Olympic Games"
3,"Jade Carey","United States",6.2,7.9,NA,14.1,"qual",2021-07-25,"FX","w","Olympic Games"
4,"Rebeca Andrade","Brazil",5.7,8.366,NA,14.066,"qual",2021-07-25,"FX","w","Olympic Games"
5,"Jessica Gadirova","United Kingdom",5.5,8.533,NA,14.033,"qual",2021-07-25,"FX","w","Olympic Games"
6,"Viktoria Listunova","Russia",5.6,8.4,NA,14,"qual",2021-07-25,"FX","w","Olympic Games"
7,"Angelina Melnikova","Russia",5.8,8.2,NA,14,"qual",2021-07-25,"FX","w","Olympic Games"
8,"Mai Murakami","Japan",5.8,8.133,NA,13.933,"qual",2021-07-25,"FX","w","Olympic Games"
9,"Jennifer Gadirova","United Kingdom",5.4,8.4,NA,13.8,"qual",2021-07-25,"FX","w","Olympic Games"
10,"Vladislava Urazova","Russia",5.3,8.333,NA,13.633,"qual",2021-07-25,"FX","w","Olympic Games"
11,"Lilia Akhaimova","Russia",5.8,7.833,NA,13.633,"qual",2021-07-25,"FX","w","Olympic Games"
12,"Nina Derwael","Belgium",5,8.566,NA,13.566,"qual",2021-07-25,"FX","w","Olympic Games"
13,"Jordan Chiles","United States",5.9,7.666,NA,13.566,"qual",2021-07-25,"FX","w","Olympic Games"
14,"MyKayla Skinner","United States",6,7.566,NA,13.566,"qual",2021-07-25,"FX","w","Olympic Games"
15,"Brooklyn Moors","Canada",5.1,8.433,NA,13.533,"qual",2021-07-25,"FX","w","Olympic Games"
1,"Jade Carey","United States",6.3,8.066,NA,14.366,"final",2021-08-02,"FX","w","Olympic Games"
2,"Vanessa Ferrari","Italy",5.9,8.3,NA,14.2,"final",2021-08-02,"FX","w","Olympic Games"
3,"Mai Murakami","Japan",5.9,8.266,NA,14.166,"final",2021-08-02,"FX","w","Olympic Games"
3,"Angelina Melnikova","Russia",5.9,8.266,NA,14.166,"final",2021-08-02,"FX","w","Olympic Games"
5,"Rebeca Andrade","Brazil",5.9,8.233,0.1,14.033,"final",2021-08-02,"FX","w","Olympic Games"
6,"Jessica Gadirova","United Kingdom",5.6,8.4,NA,14,"final",2021-08-02,"FX","w","Olympic Games"
7,"Jennifer Gadirova","United Kingdom",5.1,8.133,NA,13.233,"final",2021-08-02,"FX","w","Olympic Games"
8,"Viktoria Listunova","Russia",5.2,7.3,0.1,12.4,"final",2021-08-02,"FX","w","Olympic Games"
1,"Lee Chih-kai","Taiwan",6.4,8.866,NA,15.266,"final",2021-08-01,"PH","m","Olympic Games"
1,"Rhys McClenaghan","Ireland",6.5,8.766,NA,15.266,"final",2021-08-01,"PH","m","Olympic Games"
1,"Kohei Kameyama","Japan",6.5,8.766,NA,15.266,"final",2021-08-01,"PH","m","Olympic Games"
4,"Alec Yoder","United States",6.4,8.8,NA,15.2,"final",2021-08-01,"PH","m","Olympic Games"
5,"Max Whitlock","United Kingdom",6.8,8.1,NA,14.9,"final",2021-08-01,"PH","m","Olympic Games"
6,"Sun Wei","China",6.3,8.533,NA,14.833,"final",2021-08-01,"PH","m","Olympic Games"
6,"Kazuma Kaya","Japan",6.4,8.433,NA,14.833,"final",2021-08-01,"PH","m","Olympic Games"
8,"Daiki Hashimoto","Japan",6.5,8.266,NA,14.766,"final",2021-08-01,"PH","m","Olympic Games"
9,"David Belyavskiy","Russia",6.4,8.333,NA,14.733,"final",2021-08-01,"PH","m","Olympic Games"
9,"Matvei Petrov","Albania",6.5,8.233,NA,14.733,"final",2021-08-01,"PH","m","Olympic Games"
11,"Joe Fraser","United Kingdom",6.3,8.366,NA,14.666,"final",2021-08-01,"PH","m","Olympic Games"
12,"Zou Jingyuan","China",5.9,8.7,NA,14.6,"final",2021-08-01,"PH","m","Olympic Games"
1,"Max Whitlock","United Kingdom",7,8.583,NA,15.583,"final",2021-08-01,"PH","m","Olympic Games"
2,"Lee Chih-kai","Taiwan",6.7,8.7,NA,15.4,"final",2021-08-01,"PH","m","Olympic Games"
3,"Kazuma Kaya","Japan",6.6,8.3,NA,14.9,"final",2021-08-01,"PH","m","Olympic Games"
4,"David Belyavskiy","Russia",6.4,8.433,NA,14.833,"final",2021-08-01,"PH","m","Olympic Games"
5,"Kohei Kameyama","Japan",6.8,7.8,NA,14.6,"final",2021-08-01,"PH","m","Olympic Games"
6,"Alec Yoder","United States",6.4,8.166,NA,14.566,"final",2021-08-01,"PH","m","Olympic Games"
7,"Rhys McClenaghan","Ireland",6.4,6.7,NA,13.1,"final",2021-08-01,"PH","m","Olympic Games"
8,"Sun Wei","China",6.3,6.766,NA,13.066,"final",2021-08-01,"PH","m","Olympic Games"
1,"Eleftherios Petrounias","Greece",6.3,9.033,NA,15.333,"qual",2021-07-24,"SR","m","Olympic Games"
2,"Liu Yang","China",6.4,8.9,NA,15.3,"qual",2021-07-24,"SR","m","Olympic Games"
3,"Samir Aït Saïd","France",6.3,8.766,NA,15.066,"qual",2021-07-24,"SR","m","Olympic Games"
4,"İbrahim Çolak","Turkey",6.2,8.733,NA,14.933,"qual",2021-07-24,"SR","m","Olympic Games"
5,"Arthur Zanetti","Brazil",6.2,8.7,NA,14.9,"qual",2021-07-24,"SR","m","Olympic Games"
6,"Adem Asil","Turkey",6.2,8.6,NA,14.8,"qual",2021-07-24,"SR","m","Olympic Games"
7,"Denis Ablyazin","Russia",6.3,8.5,NA,14.8,"qual",2021-07-24,"SR","m","Olympic Games"
8,"You Hao","China",6.5,8.3,NA,14.8,"qual",2021-07-24,"SR","m","Olympic Games"
9,"Marco Lodadio","Italy",6.4,8.233,NA,14.633,"qual",2021-07-24,"SR","m","Olympic Games"
10,"Artur Dalaloyan","Russia",6,8.5,NA,14.5,"qual",2021-07-24,"SR","m","Olympic Games"
11,"Igor Radivilov","Ukraine",6,8.466,NA,14.466,"qual",2021-07-24,"SR","m","Olympic Games"
1,"Liu Yang","China",6.5,9,NA,15.5,"final",2021-08-02,"SR","m","Olympic Games"
2,"You Hao","China",6.6,8.7,NA,15.3,"final",2021-08-02,"SR","m","Olympic Games"
3,"Eleftherios Petrounias","Greece",6.3,8.9,NA,15.2,"final",2021-08-02,"SR","m","Olympic Games"
4,"Samir Aït Saïd","France",6.3,8.6,NA,14.9,"final",2021-08-02,"SR","m","Olympic Games"
5,"İbrahim Çolak","Turkey",6.2,8.666,NA,14.866,"final",2021-08-02,"SR","m","Olympic Games"
6,"Denis Ablyazin","Russia",6.3,8.533,NA,14.833,"final",2021-08-02,"SR","m","Olympic Games"
7,"Adem Asil","Turkey",6.2,8.4,NA,14.6,"final",2021-08-02,"SR","m","Olympic Games"
8,"Arthur Zanetti","Brazil",6.5,7.633,NA,14.133,"final",2021-08-02,"SR","m","Olympic Games"
1,"Zou Jingyuan","China",6.8,9.366,NA,16.166,"qual",2021-07-24,"PB","m","Olympic Games"
2,"Lukas Dauser","Germany",6.7,9.033,NA,15.733,"qual",2021-07-24,"PB","m","Olympic Games"
3,"You Hao","China",6.8,8.866,NA,15.666,"qual",2021-07-24,"PB","m","Olympic Games"
4,"Ferhat Arıcan","Turkey",7,8.566,NA,15.566,"qual",2021-07-24,"PB","m","Olympic Games"
5,"Sam Mikulak","United States",6.4,9.033,NA,15.433,"qual",2021-07-24,"PB","m","Olympic Games"
6,"Xiao Ruoteng","China",6.4,9,NA,15.4,"qual",2021-07-24,"PB","m","Olympic Games"
7,"Joe Fraser","United Kingdom",6.6,8.8,NA,15.4,"qual",2021-07-24,"PB","m","Olympic Games"
8,"Petro Pakhniuk","Ukraine",6.6,8.733,NA,15.333,"qual",2021-07-24,"PB","m","Olympic Games"
9,"David Belyavskiy","Russia",6.6,8.725,NA,15.325,"qual",2021-07-24,"PB","m","Olympic Games"
10,"Daiki Hashimoto","Japan",6.2,9.1,NA,15.3,"qual",2021-07-24,"PB","m","Olympic Games"
11,"Wataru Tanigawa","Japan",6.4,8.841,NA,15.241,"qual",2021-07-24,"PB","m","Olympic Games"
12,"Artur Dalaloyan","Russia",6.4,8.833,NA,15.233,"qual",2021-07-24,"PB","m","Olympic Games"
1,"Zou Jingyuan","China",6.9,9.333,NA,16.233,"final",2021-08-03,"PB","m","Olympic Games"
2,"Lukas Dauser","Germany",6.7,9,NA,15.7,"final",2021-08-03,"PB","m","Olympic Games"
3,"Ferhat Arıcan","Turkey",7,8.633,NA,15.633,"final",2021-08-03,"PB","m","Olympic Games"
4,"You Hao","China",6.9,8.566,NA,15.466,"final",2021-08-03,"PB","m","Olympic Games"
5,"David Belyavskiy","Russia",6.6,8.6,NA,15.2,"final",2021-08-03,"PB","m","Olympic Games"
6,"Sam Mikulak","United States",6.4,8.6,NA,15,"final",2021-08-03,"PB","m","Olympic Games"
7,"Petro Pakhniuk","Ukraine",6.1,8.433,NA,14.533,"final",2021-08-03,"PB","m","Olympic Games"
8,"Joe Fraser","United Kingdom",6.1,8.4,NA,14.5,"final",2021-08-03,"PB","m","Olympic Games"
1,"Daiki Hashimoto","Japan",6.5,8.533,NA,15.033,"qual",2021-07-24,"HB","m","Olympic Games"
2,"Milad Karimi","Kazakhstan",6.4,8.366,NA,14.766,"qual",2021-07-24,"HB","m","Olympic Games"
3,"Tin Srbić","Croatia",6.2,8.433,NA,14.633,"qual",2021-07-24,"HB","m","Olympic Games"
4,"Brody Malone","United States",6.5,8.033,NA,14.533,"qual",2021-07-24,"HB","m","Olympic Games"
5,"Nikita Nagornyy","Russia",6,8.466,NA,14.466,"qual",2021-07-24,"HB","m","Olympic Games"
6,"Takeru Kitazono","Japan",5.9,8.533,NA,14.433,"qual",2021-07-24,"HB","m","Olympic Games"
7,"Tyson Bull","Australia",6.3,8.133,NA,14.433,"qual",2021-07-24,"HB","m","Olympic Games"
8,"Bart Deurloo","Netherlands",6.5,7.9,NA,14.4,"qual",2021-07-24,"HB","m","Olympic Games"
9,"Marios Georgiou","Cyprus",6.1,8.233,NA,14.333,"qual",2021-07-24,"HB","m","Olympic Games"
10,"Xiao Ruoteng","China",6,8.266,NA,14.266,"qual",2021-07-24,"HB","m","Olympic Games"
11,"Lin Chaopan","China",6.3,7.9,NA,14.2,"qual",2021-07-24,"HB","m","Olympic Games"
1,"Daiki Hashimoto","Japan",6.5,8.566,NA,15.066,"final",2021-08-03,"HB","m","Olympic Games"
2,"Tin Srbić","Croatia",6.5,8.4,NA,14.9,"final",2021-08-03,"HB","m","Olympic Games"
3,"Nikita Nagornyy","Russia",6,8.533,NA,14.533,"final",2021-08-03,"HB","m","Olympic Games"
4,"Brody Malone","United States",6.5,7.7,NA,14.2,"final",2021-08-03,"HB","m","Olympic Games"
5,"Tyson Bull","Australia",5.8,6.666,NA,12.466,"final",2021-08-03,"HB","m","Olympic Games"
6,"Takeru Kitazono","Japan",6.1,6.233,NA,12.333,"final",2021-08-03,"HB","m","Olympic Games"
7,"Bart Deurloo","Netherlands",5.6,6.666,NA,12.266,"final",2021-08-03,"HB","m","Olympic Games"
8,"Milad Karimi","Kazakhstan",5,6.266,NA,11.266,"final",2021-08-03,"HB","m","Olympic Games"
1,"Nina Derwael","Belgium",6.7,8.666,NA,15.366,"qual",2021-07-25,"UB","w","Olympic Games"
2,"Sunisa Lee","United States",6.6,8.6,NA,15.2,"qual",2021-07-25,"UB","w","Olympic Games"
3,"Anastasia Ilyankova","Russia",6.4,8.566,NA,14.966,"qual",2021-07-25,"UB","w","Olympic Games"
4,"Angelina Melnikova","Russia",6.3,8.633,NA,14.933,"qual",2021-07-25,"UB","w","Olympic Games"
5,"Vladislava Urazova","Russia",6.3,8.566,NA,14.866,"qual",2021-07-25,"UB","w","Olympic Games"
6,"Viktoria Listunova","Russia",6.4,8.366,NA,14.766,"qual",2021-07-25,"UB","w","Olympic Games"
7,"Lu Yufei","China",6.2,8.5,NA,14.7,"qual",2021-07-25,"UB","w","Olympic Games"
7,"Elisabeth Seitz","Germany",6.2,8.5,NA,14.7,"qual",2021-07-25,"UB","w","Olympic Games"
9,"Fan Yilin","China",6.3,8.3,NA,14.6,"qual",2021-07-25,"UB","w","Olympic Games"
10,"Simone Biles","United States",6.2,8.366,NA,14.566,"qual",2021-07-25,"UB","w","Olympic Games"
11,"Mélanie de Jesus dos Santos","France",6.4,8.166,NA,14.566,"qual",2021-07-25,"UB","w","Olympic Games"
12,"Jonna Adlerteg","Sweden",6.3,8.233,NA,14.533,"qual",2021-07-25,"UB","w","Olympic Games"
13,"Tang Xijing","China",6,8.433,NA,14.433,"qual",2021-07-25,"UB","w","Olympic Games"
14,"Zsófia Kovács","Hungary",6.3,8.133,NA,14.433,"qual",2021-07-25,"UB","w","Olympic Games"
1,"Nina Derwael","Belgium",6.7,8.5,NA,15.2,"final",2021-08-01,"UB","w","Olympic Games"
2,"Anastasia Ilyankova","Russia",6.3,8.533,NA,14.833,"final",2021-08-01,"UB","w","Olympic Games"
3,"Sunisa Lee","United States",6.2,8.3,NA,14.5,"final",2021-08-01,"UB","w","Olympic Games"
4,"Lu Yufei","China",6,8.4,NA,14.4,"final",2021-08-01,"UB","w","Olympic Games"
4,"Elisabeth Seitz","Germany",6.2,8.2,NA,14.4,"final",2021-08-01,"UB","w","Olympic Games"
6,"Mélanie de Jesus dos Santos","France",6.1,7.933,NA,14.033,"final",2021-08-01,"UB","w","Olympic Games"
7,"Fan Yilin","China",6.4,7.5,NA,13.9,"final",2021-08-01,"UB","w","Olympic Games"
8,"Angelina Melnikova","Russia",5.9,7.166,NA,13.066,"final",2021-08-01,"UB","w","Olympic Games"
1,"Guan Chenchen","China",6.9,8.033,NA,14.933,"qual",2021-07-25,"BB","w","Olympic Games"
2,"Tang Xijing","China",6.2,8.133,NA,14.333,"qual",2021-07-25,"BB","w","Olympic Games"
3,"Sunisa Lee","United States",6.2,8,NA,14.2,"qual",2021-07-25,"BB","w","Olympic Games"
4,"Larisa Iordache","Romania",6.2,7.933,NA,14.133,"qual",2021-07-25,"BB","w","Olympic Games"
5,"Lu Yufei","China",6,8.1,NA,14.1,"qual",2021-07-25,"BB","w","Olympic Games"
6,"Ellie Black","Canada",6.3,7.8,NA,14.1,"qual",2021-07-25,"BB","w","Olympic Games"
7,"Simone Biles","United States",6.5,7.566,NA,14.066,"qual",2021-07-25,"BB","w","Olympic Games"
8,"Vladislava Urazova","Russia",5.8,8.2,NA,14,"qual",2021-07-25,"BB","w","Olympic Games"
9,"Flávia Saraiva","Brazil",5.9,8.066,NA,13.966,"qual",2021-07-25,"BB","w","Olympic Games"
10,"Zhang Jin","China",6,7.966,NA,13.966,"qual",2021-07-25,"BB","w","Olympic Games"
11,"Ou Yushan","China",5.9,8.033,NA,13.933,"qual",2021-07-25,"BB","w","Olympic Games"
12,"Urara Ashikawa","Japan",5.9,8,NA,13.9,"qual",2021-07-25,"BB","w","Olympic Games"
13,"Viktoria Listunova","Russia",5.6,8.266,NA,13.866,"qual",2021-07-25,"BB","w","Olympic Games"
14,"Sanne Wevers","Netherlands",5.8,8.066,NA,13.866,"qual",2021-07-25,"BB","w","Olympic Games"
1,"Guan Chenchen","China",6.6,8.033,NA,14.633,"final",2021-08-03,"BB","w","Olympic Games"
2,"Tang Xijing","China",6,8.233,NA,14.233,"final",2021-08-03,"BB","w","Olympic Games"
3,"Simone Biles","United States",6.1,7.9,NA,14,"final",2021-08-03,"BB","w","Olympic Games"
4,"Ellie Black","Canada",6.2,7.666,NA,13.866,"final",2021-08-03,"BB","w","Olympic Games"
4,"Sunisa Lee","United States",6.4,7.466,NA,13.866,"final",2021-08-03,"BB","w","Olympic Games"
6,"Urara Ashikawa","Japan",5.9,7.833,NA,13.733,"final",2021-08-03,"BB","w","Olympic Games"
7,"Flávia Saraiva","Brazil",5.7,7.433,NA,13.133,"final",2021-08-03,"BB","w","Olympic Games"
8,"Vladislava Urazova","Russia",5,7.733,NA,12.733,"final",2021-08-03,"BB","w","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,15.25,"AAfinal",2008-08-14,"FX","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,15.275,"AAfinal",2008-08-14,"PH","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,16.625,"AAfinal",2008-08-14,"SR","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,16.55,"AAfinal",2008-08-14,"VT","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,16.1,"AAfinal",2008-08-14,"PB","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,14.775,"AAfinal",2008-08-14,"HB","m","Olympic Games"
1,"Yang Wei","China",NA,NA,NA,94.575,"final",2008-08-14,"AA","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,15.825,"AAfinal",2008-08-14,"FX","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,13.275,"AAfinal",2008-08-14,"PH","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,15.2,"AAfinal",2008-08-14,"SR","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,16.3,"AAfinal",2008-08-14,"VT","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,15.975,"AAfinal",2008-08-14,"PB","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,15.4,"AAfinal",2008-08-14,"HB","m","Olympic Games"
2,"Kohei Uchimura","Japan",NA,NA,NA,91.975,"final",2008-08-14,"AA","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,15.35,"AAfinal",2008-08-14,"FX","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,14.875,"AAfinal",2008-08-14,"PH","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,15.175,"AAfinal",2008-08-14,"SR","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,16.6,"AAfinal",2008-08-14,"VT","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,15.05,"AAfinal",2008-08-14,"PB","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,14.875,"AAfinal",2008-08-14,"HB","m","Olympic Games"
3,"Benoit Caranobe","France",NA,NA,NA,91.925,"final",2008-08-14,"AA","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,15.1,"AAfinal",2008-08-14,"FX","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,15.425,"AAfinal",2008-08-14,"PH","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,13.85,"AAfinal",2008-08-14,"SR","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,16.2,"AAfinal",2008-08-14,"VT","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,16,"AAfinal",2008-08-14,"PB","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,15.675,"AAfinal",2008-08-14,"HB","m","Olympic Games"
4,"Hiroyuki Tomita","Japan",NA,NA,NA,91.75,"final",2008-08-14,"AA","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.15,"AAfinal",2008-08-14,"FX","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.1,"AAfinal",2008-08-14,"PH","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.4,"AAfinal",2008-08-14,"SR","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.3,"AAfinal",2008-08-14,"VT","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.7,"AAfinal",2008-08-14,"PB","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,15.05,"AAfinal",2008-08-14,"HB","m","Olympic Games"
5,"Sergey Khorokhordin","Russia",NA,NA,NA,91.7,"final",2008-08-14,"AA","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.225,"AAfinal",2008-08-14,"FX","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.2,"AAfinal",2008-08-14,"PH","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.625,"AAfinal",2008-08-14,"SR","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.225,"AAfinal",2008-08-14,"VT","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.325,"AAfinal",2008-08-14,"PB","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,15.1,"AAfinal",2008-08-14,"HB","m","Olympic Games"
5,"Maxim Devyatovskiy","Russia",NA,NA,NA,91.7,"final",2008-08-14,"AA","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,15.625,"AAfinal",2008-08-14,"FX","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,14.375,"AAfinal",2008-08-14,"PH","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,15.025,"AAfinal",2008-08-14,"SR","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,15.975,"AAfinal",2008-08-14,"VT","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,15.275,"AAfinal",2008-08-14,"PB","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,15.4,"AAfinal",2008-08-14,"HB","m","Olympic Games"
7,"Fabian Hambüchen","Germany",NA,NA,NA,91.675,"final",2008-08-14,"AA","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,15.225,"AAfinal",2008-08-14,"FX","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,14.3,"AAfinal",2008-08-14,"PH","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,14.9,"AAfinal",2008-08-14,"SR","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,16.075,"AAfinal",2008-08-14,"VT","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,16.35,"AAfinal",2008-08-14,"PB","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,14.75,"AAfinal",2008-08-14,"HB","m","Olympic Games"
8,"Yang Tae-young","South Korea",NA,NA,NA,91.6,"final",2008-08-14,"AA","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,15.6,"AAfinal",2008-08-14,"FX","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,13.675,"AAfinal",2008-08-14,"PH","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,15.575,"AAfinal",2008-08-14,"SR","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,16.1,"AAfinal",2008-08-14,"VT","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,15.275,"AAfinal",2008-08-14,"PB","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,15.35,"AAfinal",2008-08-14,"HB","m","Olympic Games"
9,"Jonathan Horton","United States",NA,NA,NA,91.575,"final",2008-08-14,"AA","m","Olympic Games"
10,"Rafael Martínez","Spain",NA,NA,NA,15.45,"AAfinal",2008-08-14,"FX","m","Olympic Games"
10,"Rafael Martínez","Spain",NA,NA,NA,15,"AAfinal",2008-08-14,"PH","m","Olympic Games"
10,"Rafael Martínez","Spain",NA,NA,NA,14.375,"AAfinal",2008-08-14,"SR","m","Olympic Games"
10,"Rafael Martínez","Spain",NA,NA,NA,15.575,"AAfinal",2008-08-14,"VT","m","Olympic Games"
10,"Rafael Martínez","Spain",NA,NA,NA,15.525,"AAfinal",2008-08-14,"PB","m","Olympic Games"
